week,new_deals,deals_closed_won,deals_closed_lost,pipeline_value_usd,avg_deal_velocity_days,win_rate_pct,avg_deal_size_usd,enterprise_deals_stalled
2026-03-03,24,8,3,1240000,32,72.7,155000,2
2026-03-10,22,9,2,1180000,31,81.8,131111,1
2026-03-17,26,7,4,1310000,33,63.6,187143,3
2026-03-24,25,10,3,1290000,30,76.9,129000,2
2026-03-31,23,8,2,1210000,32,80.0,151250,1
2026-04-07,21,6,5,1090000,38,54.5,181667,4
2026-04-14,19,5,6,980000,44,45.5,196000,6
2026-04-21,17,4,7,860000,52,36.4,215000,8
2026-04-28,15,3,9,740000,61,25.0,246667,11
2026-05-05,13,2,10,620000,74,16.7,310000,14
