date,ticket_volume,csat_score,avg_resolution_hours,first_response_minutes,escalation_rate_pct,open_tickets,agent_utilization_pct
2026-04-14,142,4.6,3.2,8,4.1,38,72
2026-04-15,138,4.7,3.0,7,3.8,35,70
2026-04-16,145,4.5,3.4,9,4.3,40,74
2026-04-17,151,4.4,3.6,10,4.8,44,76
2026-04-18,148,4.5,3.3,9,4.2,41,73
2026-04-21,155,4.3,3.8,11,5.1,47,78
2026-04-22,160,4.2,4.1,13,5.6,52,81
2026-04-23,174,3.9,5.2,18,7.2,64,89
2026-04-24,198,3.6,6.8,24,9.4,78,96
2026-04-25,231,3.2,8.9,38,12.7,94,103
2026-04-28,264,2.9,10.4,47,15.3,112,108
2026-04-29,289,2.7,11.8,54,17.1,128,112
2026-04-30,312,2.5,13.2,62,19.4,147,116
2026-05-01,341,2.3,14.7,71,21.8,163,119
2026-05-02,298,2.6,12.1,58,18.2,134,111
